"","Perc","Boot Low","Boot Pred","Boot High","Variable"
"1",0,226009.560540957,247432.633545373,286827.549343712,"FirstCaseDay"
"2",0.1,239856.633905703,253425.645820766,269628.031669449,"FirstCaseDay"
"3",0.2,227664.452821845,253516.043938725,272510.627399239,"FirstCaseDay"
"4",0.3,232366.480931755,248522.748295498,263105.261189523,"FirstCaseDay"
"5",0.4,207789.813163248,248401.57643643,286560.88429305,"FirstCaseDay"
"6",0.5,225499.375157561,261209.140920407,285399.508243548,"FirstCaseDay"
"7",0.6,229839.517447176,250198.992021667,278059.005786331,"FirstCaseDay"
"8",0.7,237203.612572867,264467.871321678,289346.30986671,"FirstCaseDay"
"9",0.8,233104.62488273,257169.888713464,275514.739866441,"FirstCaseDay"
"10",0.9,227324.868424794,251181.672406931,298654.975719502,"FirstCaseDay"
"11",0,149656.760270448,253660.168806666,276781.100185753,"pct_2_or_more_races_2018"
"12",0.1,195365.016365451,257336.909190902,276731.374508339,"pct_2_or_more_races_2018"
"13",0.2,242708.443377114,257883.25108261,282776.989696399,"pct_2_or_more_races_2018"
"14",0.3,240330.038345921,258650.440408022,279876.616293794,"pct_2_or_more_races_2018"
"15",0.4,220051.376010481,252094.565128955,274186.303048087,"pct_2_or_more_races_2018"
"16",0.5,233935.134945899,249921.587351626,272993.408396849,"pct_2_or_more_races_2018"
"17",0.6,244863.217240139,258951.702369954,290921.334483824,"pct_2_or_more_races_2018"
"18",0.7,235136.307043667,259730.920850887,298602.408010324,"pct_2_or_more_races_2018"
"19",0.8,241483.260234333,263954.203528937,275457.360804846,"pct_2_or_more_races_2018"
"20",0.9,224864.427821759,252615.77736278,275732.256831585,"pct_2_or_more_races_2018"
"21",0,222502.02737876,255929.104079516,277451.129550711,"sr_poverty_hw"
"22",0.1,221285.369215408,257704.455119058,275655.042299666,"sr_poverty_hw"
"23",0.2,232180.225895459,242066.537585876,296803.299840797,"sr_poverty_hw"
"24",0.3,238170.268157175,259589.828348734,307125.600089898,"sr_poverty_hw"
"25",0.4,226548.399753552,257675.456421939,274465.530896372,"sr_poverty_hw"
"26",0.5,246354.296368667,262840.112039258,295033.600678438,"sr_poverty_hw"
"27",0.6,231407.113394647,254618.232988483,303299.88942834,"sr_poverty_hw"
"28",0.7,240706.783241863,257969.455415953,275974.483348131,"sr_poverty_hw"
"29",0.8,228712.507762689,248640.725768196,272592.031202883,"sr_poverty_hw"
"30",0.9,232468.270070941,252466.844250133,279963.095462381,"sr_poverty_hw"
"31",0,222473.169633861,247729.046348574,263161.656605659,"FirstCaseDay & pct_2_or_more_races_2018 & sr_poverty_hw"
"32",0.1,237617.042063838,252029.68640725,283868.530377612,"FirstCaseDay & pct_2_or_more_races_2018 & sr_poverty_hw"
"33",0.2,234559.485474041,257937.89774403,288299.060656468,"FirstCaseDay & pct_2_or_more_races_2018 & sr_poverty_hw"
"34",0.3,232464.075137066,260164.724912028,268094.794206962,"FirstCaseDay & pct_2_or_more_races_2018 & sr_poverty_hw"
"35",0.4,230633.470335418,258621.317915101,271879.288067271,"FirstCaseDay & pct_2_or_more_races_2018 & sr_poverty_hw"
"36",0.5,241409.441964345,273151.613151343,295031.238281818,"FirstCaseDay & pct_2_or_more_races_2018 & sr_poverty_hw"
"37",0.6,240235.242248986,260666.367926222,311691.012079414,"FirstCaseDay & pct_2_or_more_races_2018 & sr_poverty_hw"
"38",0.7,225916.130912365,253692.002559952,285724.257298256,"FirstCaseDay & pct_2_or_more_races_2018 & sr_poverty_hw"
"39",0.8,199749.97849094,261517.731757507,292374.634705046,"FirstCaseDay & pct_2_or_more_races_2018 & sr_poverty_hw"
"40",0.9,243041.294344863,269947.927894001,299094.473476506,"FirstCaseDay & pct_2_or_more_races_2018 & sr_poverty_hw"
