"","x"
"1","Population"
"2","GDP"
"3","pct_female_2018"
"4","pct_black_only_2018"
"5","pct_american_indian.alaskan_native_only_2018"
"6","pct_asian_only_2018"
"7","pct_hawaiian_or_pacific_islander_only_2018"
"8","pct_some_other_race_alone_2018"
"9","pct_2_or_more_races_2018"
"10","CentroidLat"
"11","CentroidLon"
"12","NearestAirportDistance"
"13","NearestAirportEnplanements"
"14","NearestAirportOver5000000Distance"
"15","NearestAirportOver5000000Enplanements"
"16","AreaLand"
"17","urban_rural_status"
"18","all_stroke_deathrate"
"19","Premature.death.raw.value"
"20","Adult.smoking.raw.value"
"21","Adult.obesity.raw.value"
"22","Food.environment.index.raw.value"
"23","Access.to.exercise.opportunities.raw.value"
"24","Excessive.drinking.raw.value"
"25","HIV.prevalence.raw.value"
"26","Sexually.transmitted.infections.raw.value"
"27","Life.expectancy.raw.value"
"28","Food.insecurity.raw.value"
"29","prev_2017_all_ages_Alzheimer's Disease/Dementia"
"30","prev_2017_all_ages_Arthritis"
"31","prev_2017_all_ages_Asthma"
"32","prev_2017_all_ages_Cancer"
"33","prev_2017_all_ages_Chronic Kidney Disease"
"34","prev_2017_all_ages_COPD"
"35","prev_2017_all_ages_Depression"
"36","prev_2017_all_ages_Diabetes"
"37","prev_2017_all_ages_Drug Abuse/Substance Abuse"
"38","prev_2017_all_ages_Hyperlipidemia"
"39","prev_2017_all_ages_Hepatitis                                 (Chronic Viral B & C)"
"40","prev_2017_all_ages_Hypertension"
"41","prev_2017_all_ages_Ischemic Heart Disease"
"42","prev_2017_all_ages_Osteoporosis"
"43","prev_2017_all_ages_Schizophrenia/Other Psychotic Disorders"
"44","num_hospitals"
"45","Uninsured.raw.value"
"46","Primary.care.physicians.raw.value"
"47","Preventable.hospital.stays.raw.value"
"48","Flu.vaccinations.raw.value"
"49","Percentage.of.households.with.overcrowding"
"50","pct_in_labor_force_employed_2018"
"51","percent_park_access"
"52","Air.pollution...particulate.matter.raw.value"
"53","Drinking.water.violations.raw.value"
"54","Fall"
"55","Spring"
"56","Summer"
"57","Winter"
"58","Annual"
"59","High.school.graduation.raw.value"
"60","Some.college.raw.value"
"61","Unemployment.raw.value"
"62","Income.inequality.raw.value"
"63","Median.household.income.raw.value"
"64","EPL_PCI"
"65","EPL_AGE65"
"66","EPL_AGE17"
"67","EPL_DISABL"
"68","EPL_SNGPNT"
"69","EPL_MINRTY"
"70","EPL_LIMENG"
"71","EPL_MUNIT"
"72","EPL_MOBILE"
"73","EPL_NOVEH"
"74","EPL_GROUPQ"
"75","pct_no_workers_in_household_2018"
"76","pct_poverty_income_ratio_under_100"
"77","pct_poverty_income_ratio_100to200"
"78","Driving.alone.to.work.raw.value"
"79","pct_taking_Public_transportation_2018"
"80","agg_commuting_by_residence_place"
"81","occ_all_federal"
"82","occ_all_state"
"83","occ_all_local"
"84","occ_all_private"
"85","occ_goods_prod"
"86","occ_natural_mining"
"87","occ_construction"
"88","occ_Manufacturing"
"89","occ_servic_prov"
"90","occ_trade_trans_util"
"91","occ_Info"
"92","occ_financial"
"93","occ_prof_business"
"94","occ_educ_health"
"95","occ_leisure"
"96","seg_index"
"97","rep_ratio"
"98","soc_assc_rate"
"99","pct_mental_distress"
"100","pct_insufficient_sleep"
"101","co"
"102","no2"
"103","o3"
"104","pm10"
"105","pm25"
"106","so2"
"107","ATRAZINE"
"108","CARBARYL"
"109","CLETHODIM"
"110","CYHALOTHRIN-GAMMA"
"111","ESFENVALERATE"
"112","FLUXAPYROXAD"
"113","IMAZETHAPYR"
"114","METALAXYL"
