StateFIPS,State,CountyFIPS,County,Year,Value,Data Comment,Number,Year Built
1,Alabama,1001,Autauga,2010,0.041,,876,Before 1950
1,Alabama,1001,Autauga,2010,0.330,,"7,099",Between 1950 and 1979
1,Alabama,1001,Autauga,2010,0.370,,"7,975",Before 1980
1,Alabama,1001,Autauga,2015,0.042,,955,Before 1950
1,Alabama,1001,Autauga,2015,0.301,,"6,797",Between 1950 and 1979
1,Alabama,1001,Autauga,2015,0.343,,"7,752",Before 1980
1,Alabama,1003,Baldwin,2010,0.042,,"4,219",Before 1950
1,Alabama,1003,Baldwin,2010,0.203,,"20,517",Between 1950 and 1979
1,Alabama,1003,Baldwin,2010,0.245,,"24,736",Before 1980
1,Alabama,1003,Baldwin,2015,0.045,,"4,759",Before 1950
1,Alabama,1003,Baldwin,2015,0.197,,"20,975",Between 1950 and 1979
1,Alabama,1003,Baldwin,2015,0.242,,"25,734",Before 1980
1,Alabama,1005,Barbour,2010,0.136,,"1,628",Before 1950
1,Alabama,1005,Barbour,2010,0.379,,"4,557",Between 1950 and 1979
1,Alabama,1005,Barbour,2010,0.515,,"6,185",Before 1980
1,Alabama,1005,Barbour,2015,0.122,,"1,436",Before 1950
1,Alabama,1005,Barbour,2015,0.369,,"4,361",Between 1950 and 1979
1,Alabama,1005,Barbour,2015,0.491,,"5,797",Before 1980
1,Alabama,1007,Bibb,2010,0.130,,"1,153",Before 1950
1,Alabama,1007,Bibb,2010,0.393,,"3,490",Between 1950 and 1979
1,Alabama,1007,Bibb,2010,0.523,,"4,643",Before 1980
1,Alabama,1007,Bibb,2015,0.128,,"1,152",Before 1950
1,Alabama,1007,Bibb,2015,0.299,,"2,685",Between 1950 and 1979
1,Alabama,1007,Bibb,2015,0.428,,"3,837",Before 1980
1,Alabama,1009,Blount,2010,0.100,,"2,345",Before 1950
1,Alabama,1009,Blount,2010,0.340,,"7,986",Between 1950 and 1979
1,Alabama,1009,Blount,2010,0.440,,"10,331",Before 1980
1,Alabama,1009,Blount,2015,0.101,,"2,411",Before 1950
1,Alabama,1009,Blount,2015,0.308,,"7,352",Between 1950 and 1979
1,Alabama,1009,Blount,2015,0.409,,"9,763",Before 1980
1,Alabama,1011,Bullock,2010,0.168,,762,Before 1950
1,Alabama,1011,Bullock,2010,0.378,,"1,720",Between 1950 and 1979
1,Alabama,1011,Bullock,2010,0.546,,"2,482",Before 1980
1,Alabama,1011,Bullock,2015,0.165,,735,Before 1950
1,Alabama,1011,Bullock,2015,0.279,,"1,244",Between 1950 and 1979
1,Alabama,1011,Bullock,2015,0.443,,"1,979",Before 1980
1,Alabama,1013,Butler,2010,0.169,,"1,688",Before 1950
1,Alabama,1013,Butler,2010,0.360,,"3,609",Between 1950 and 1979
1,Alabama,1013,Butler,2010,0.529,,"5,297",Before 1980
1,Alabama,1013,Butler,2015,0.134,,"1,326",Before 1950
1,Alabama,1013,Butler,2015,0.331,,"3,279",Between 1950 and 1979
1,Alabama,1013,Butler,2015,0.464,,"4,605",Before 1980
1,Alabama,1015,Calhoun,2010,0.148,,"7,848",Before 1950
1,Alabama,1015,Calhoun,2010,0.416,,"22,074",Between 1950 and 1979
1,Alabama,1015,Calhoun,2010,0.564,,"29,922",Before 1980
1,Alabama,1015,Calhoun,2015,0.141,,"7,496",Before 1950
1,Alabama,1015,Calhoun,2015,0.425,,"22,630",Between 1950 and 1979
1,Alabama,1015,Calhoun,2015,0.565,,"30,126",Before 1980
1,Alabama,1017,Chambers,2010,0.212,,"3,563",Before 1950
1,Alabama,1017,Chambers,2010,0.393,,"6,600",Between 1950 and 1979
1,Alabama,1017,Chambers,2010,0.605,,"10,163",Before 1980
1,Alabama,1017,Chambers,2015,0.191,,"3,240",Before 1950
1,Alabama,1017,Chambers,2015,0.434,,"7,354",Between 1950 and 1979
1,Alabama,1017,Chambers,2015,0.626,,"10,594",Before 1980
1,Alabama,1019,Cherokee,2010,0.126,,"2,013",Before 1950
1,Alabama,1019,Cherokee,2010,0.338,,"5,380",Between 1950 and 1979
1,Alabama,1019,Cherokee,2010,0.464,,"7,393",Before 1980
1,Alabama,1019,Cherokee,2015,0.069,,"1,116",Before 1950
1,Alabama,1019,Cherokee,2015,0.366,,"5,940",Between 1950 and 1979
1,Alabama,1019,Cherokee,2015,0.434,,"7,056",Before 1980
1,Alabama,1021,Chilton,2010,0.099,,"1,899",Before 1950
1,Alabama,1021,Chilton,2010,0.361,,"6,905",Between 1950 and 1979
1,Alabama,1021,Chilton,2010,0.460,,"8,804",Before 1980
1,Alabama,1021,Chilton,2015,0.091,,"1,752",Before 1950
1,Alabama,1021,Chilton,2015,0.292,,"5,615",Between 1950 and 1979
1,Alabama,1021,Chilton,2015,0.383,,"7,367",Before 1980
1,Alabama,1023,Choctaw,2010,0.137,,"1,015",Before 1950
1,Alabama,1023,Choctaw,2010,0.431,,"3,194",Between 1950 and 1979
1,Alabama,1023,Choctaw,2010,0.567,,"4,209",Before 1980
1,Alabama,1023,Choctaw,2015,0.064,,463,Before 1950
1,Alabama,1023,Choctaw,2015,0.402,,"2,907",Between 1950 and 1979
1,Alabama,1023,Choctaw,2015,0.466,,"3,370",Before 1980
1,Alabama,1025,Clarke,2010,0.178,,"2,261",Before 1950
1,Alabama,1025,Clarke,2010,0.440,,"5,585",Between 1950 and 1979
1,Alabama,1025,Clarke,2010,0.618,,"7,846",Before 1980
1,Alabama,1025,Clarke,2015,0.089,,"1,116",Before 1950
1,Alabama,1025,Clarke,2015,0.400,,"5,036",Between 1950 and 1979
1,Alabama,1025,Clarke,2015,0.488,,"6,152",Before 1980
1,Alabama,1027,Clay,2010,0.176,,"1,197",Before 1950
1,Alabama,1027,Clay,2010,0.339,,"2,302",Between 1950 and 1979
1,Alabama,1027,Clay,2010,0.515,,"3,499",Before 1980
1,Alabama,1027,Clay,2015,0.179,,"1,206",Before 1950
1,Alabama,1027,Clay,2015,0.380,,"2,558",Between 1950 and 1979
1,Alabama,1027,Clay,2015,0.559,,"3,764",Before 1980
1,Alabama,1029,Cleburne,2010,0.110,,734,Before 1950
1,Alabama,1029,Cleburne,2010,0.368,,"2,456",Between 1950 and 1979
1,Alabama,1029,Cleburne,2010,0.478,,"3,190",Before 1980
1,Alabama,1029,Cleburne,2015,0.118,,788,Before 1950
1,Alabama,1029,Cleburne,2015,0.343,,"2,296",Between 1950 and 1979
1,Alabama,1029,Cleburne,2015,0.461,,"3,084",Before 1980
1,Alabama,1031,Coffee,2010,0.084,,"1,854",Before 1950
1,Alabama,1031,Coffee,2010,0.392,,"8,604",Between 1950 and 1979
1,Alabama,1031,Coffee,2010,0.476,,"10,458",Before 1980
1,Alabama,1031,Coffee,2015,0.083,,"1,884",Before 1950
1,Alabama,1031,Coffee,2015,0.355,,"8,080",Between 1950 and 1979
1,Alabama,1031,Coffee,2015,0.438,,"9,964",Before 1980
1,Alabama,1033,Colbert,2010,0.132,,"3,398",Before 1950
1,Alabama,1033,Colbert,2010,0.459,,"11,783",Between 1950 and 1979
1,Alabama,1033,Colbert,2010,0.592,,"15,181",Before 1980
1,Alabama,1033,Colbert,2015,0.137,,"3,568",Before 1950
1,Alabama,1033,Colbert,2015,0.474,,"12,359",Between 1950 and 1979
1,Alabama,1033,Colbert,2015,0.611,,"15,927",Before 1980
1,Alabama,1035,Conecuh,2010,0.187,,"1,334",Before 1950
1,Alabama,1035,Conecuh,2010,0.416,,"2,965",Between 1950 and 1979
1,Alabama,1035,Conecuh,2010,0.603,,"4,299",Before 1980
1,Alabama,1035,Conecuh,2015,0.161,,"1,141",Before 1950
1,Alabama,1035,Conecuh,2015,0.305,,"2,158",Between 1950 and 1979
1,Alabama,1035,Conecuh,2015,0.467,,"3,299",Before 1980
1,Alabama,1037,Coosa,2010,0.177,,"1,141",Before 1950
1,Alabama,1037,Coosa,2010,0.403,,"2,600",Between 1950 and 1979
1,Alabama,1037,Coosa,2010,0.579,,"3,741",Before 1980
1,Alabama,1037,Coosa,2015,0.120,,775,Before 1950
1,Alabama,1037,Coosa,2015,0.352,,"2,275",Between 1950 and 1979
1,Alabama,1037,Coosa,2015,0.472,,"3,050",Before 1980
1,Alabama,1039,Covington,2010,0.178,,"3,350",Before 1950
1,Alabama,1039,Covington,2010,0.437,,"8,223",Between 1950 and 1979
1,Alabama,1039,Covington,2010,0.615,,"11,573",Before 1980
1,Alabama,1039,Covington,2015,0.160,,"3,005",Before 1950
1,Alabama,1039,Covington,2015,0.404,,"7,587",Between 1950 and 1979
1,Alabama,1039,Covington,2015,0.564,,"10,592",Before 1980
1,Alabama,1041,Crenshaw,2010,0.193,,"1,304",Before 1950
1,Alabama,1041,Crenshaw,2010,0.416,,"2,813",Between 1950 and 1979
1,Alabama,1041,Crenshaw,2010,0.609,,"4,117",Before 1980
1,Alabama,1041,Crenshaw,2015,0.157,,"1,052",Before 1950
1,Alabama,1041,Crenshaw,2015,0.391,,"2,619",Between 1950 and 1979
1,Alabama,1041,Crenshaw,2015,0.548,,"3,671",Before 1980
1,Alabama,1043,Cullman,2010,0.135,,"4,986",Before 1950
1,Alabama,1043,Cullman,2010,0.396,,"14,593",Between 1950 and 1979
1,Alabama,1043,Cullman,2010,0.531,,"19,579",Before 1980
1,Alabama,1043,Cullman,2015,0.096,,"3,562",Before 1950
1,Alabama,1043,Cullman,2015,0.356,,"13,215",Between 1950 and 1979
1,Alabama,1043,Cullman,2015,0.452,,"16,777",Before 1980
1,Alabama,1045,Dale,2010,0.084,,"1,895",Before 1950
1,Alabama,1045,Dale,2010,0.439,,"9,913",Between 1950 and 1979
1,Alabama,1045,Dale,2010,0.523,,"11,808",Before 1980
1,Alabama,1045,Dale,2015,0.070,,"1,595",Before 1950
1,Alabama,1045,Dale,2015,0.412,,"9,410",Between 1950 and 1979
1,Alabama,1045,Dale,2015,0.482,,"11,005",Before 1980
1,Alabama,1047,Dallas,2010,0.150,,"3,041",Before 1950
1,Alabama,1047,Dallas,2010,0.495,,"10,064",Between 1950 and 1979
1,Alabama,1047,Dallas,2010,0.644,,"13,105",Before 1980
1,Alabama,1047,Dallas,2015,0.145,,"2,936",Before 1950
1,Alabama,1047,Dallas,2015,0.483,,"9,781",Between 1950 and 1979
1,Alabama,1047,Dallas,2015,0.628,,"12,717",Before 1980
1,Alabama,1049,DeKalb,2010,0.140,,"4,302",Before 1950
1,Alabama,1049,DeKalb,2010,0.412,,"12,662",Between 1950 and 1979
1,Alabama,1049,DeKalb,2010,0.553,,"16,964",Before 1980
1,Alabama,1049,DeKalb,2015,0.082,,"2,551",Before 1950
1,Alabama,1049,DeKalb,2015,0.408,,"12,685",Between 1950 and 1979
1,Alabama,1049,DeKalb,2015,0.491,,"15,236",Before 1980
1,Alabama,1051,Elmore,2010,0.082,,"2,599",Before 1950
1,Alabama,1051,Elmore,2010,0.282,,"8,966",Between 1950 and 1979
1,Alabama,1051,Elmore,2010,0.364,,"11,565",Before 1980
1,Alabama,1051,Elmore,2015,0.066,,"2,191",Before 1950
1,Alabama,1051,Elmore,2015,0.286,,"9,477",Between 1950 and 1979
1,Alabama,1051,Elmore,2015,0.352,,"11,668",Before 1980
1,Alabama,1053,Escambia,2010,0.109,,"1,811",Before 1950
1,Alabama,1053,Escambia,2010,0.468,,"7,749",Between 1950 and 1979
1,Alabama,1053,Escambia,2010,0.577,,"9,560",Before 1980
1,Alabama,1053,Escambia,2015,0.082,,"1,347",Before 1950
1,Alabama,1053,Escambia,2015,0.379,,"6,224",Between 1950 and 1979
1,Alabama,1053,Escambia,2015,0.461,,"7,571",Before 1980
1,Alabama,1055,Etowah,2010,0.184,,"8,730",Before 1950
1,Alabama,1055,Etowah,2010,0.464,,"22,015",Between 1950 and 1979
1,Alabama,1055,Etowah,2010,0.648,,"30,745",Before 1980
1,Alabama,1055,Etowah,2015,0.209,,"9,930",Before 1950
1,Alabama,1055,Etowah,2015,0.418,,"19,869",Between 1950 and 1979
1,Alabama,1055,Etowah,2015,0.627,,"29,799",Before 1980
1,Alabama,1057,Fayette,2010,0.178,,"1,507",Before 1950
1,Alabama,1057,Fayette,2010,0.390,,"3,309",Between 1950 and 1979
1,Alabama,1057,Fayette,2010,0.567,,"4,816",Before 1980
1,Alabama,1057,Fayette,2015,0.147,,"1,235",Before 1950
1,Alabama,1057,Fayette,2015,0.389,,"3,276",Between 1950 and 1979
1,Alabama,1057,Fayette,2015,0.536,,"4,511",Before 1980
1,Alabama,1059,Franklin,2010,0.146,,"2,048",Before 1950
1,Alabama,1059,Franklin,2010,0.465,,"6,530",Between 1950 and 1979
1,Alabama,1059,Franklin,2010,0.611,,"8,578",Before 1980
1,Alabama,1059,Franklin,2015,0.069,,962,Before 1950
1,Alabama,1059,Franklin,2015,0.502,,"7,043",Between 1950 and 1979
1,Alabama,1059,Franklin,2015,0.571,,"8,005",Before 1980
1,Alabama,1061,Geneva,2010,0.170,,"2,143",Before 1950
1,Alabama,1061,Geneva,2010,0.425,,"5,370",Between 1950 and 1979
1,Alabama,1061,Geneva,2010,0.594,,"7,513",Before 1980
1,Alabama,1061,Geneva,2015,0.116,,"1,468",Before 1950
1,Alabama,1061,Geneva,2015,0.402,,"5,085",Between 1950 and 1979
1,Alabama,1061,Geneva,2015,0.518,,"6,553",Before 1980
1,Alabama,1063,Greene,2010,0.144,,729,Before 1950
1,Alabama,1063,Greene,2010,0.439,,"2,218",Between 1950 and 1979
1,Alabama,1063,Greene,2010,0.583,,"2,947",Before 1980
1,Alabama,1063,Greene,2015,0.108,,541,Before 1950
1,Alabama,1063,Greene,2015,0.395,,"1,973",Between 1950 and 1979
1,Alabama,1063,Greene,2015,0.503,,"2,514",Before 1980
1,Alabama,1065,Hale,2010,0.123,,950,Before 1950
1,Alabama,1065,Hale,2010,0.360,,"2,780",Between 1950 and 1979
1,Alabama,1065,Hale,2010,0.483,,"3,730",Before 1980
1,Alabama,1065,Hale,2015,0.125,,954,Before 1950
1,Alabama,1065,Hale,2015,0.351,,"2,682",Between 1950 and 1979
1,Alabama,1065,Hale,2015,0.476,,"3,636",Before 1980
1,Alabama,1067,Henry,2010,0.116,,"1,022",Before 1950
1,Alabama,1067,Henry,2010,0.441,,"3,869",Between 1950 and 1979
1,Alabama,1067,Henry,2010,0.557,,"4,891",Before 1980
1,Alabama,1067,Henry,2015,0.109,,974,Before 1950
1,Alabama,1067,Henry,2015,0.376,,"3,372",Between 1950 and 1979
1,Alabama,1067,Henry,2015,0.485,,"4,346",Before 1980
1,Alabama,1069,Houston,2010,0.087,,"3,890",Before 1950
1,Alabama,1069,Houston,2010,0.455,,"20,299",Between 1950 and 1979
1,Alabama,1069,Houston,2010,0.542,,"24,189",Before 1980
1,Alabama,1069,Houston,2015,0.073,,"3,351",Before 1950
1,Alabama,1069,Houston,2015,0.416,,"19,168",Between 1950 and 1979
1,Alabama,1069,Houston,2015,0.489,,"22,519",Before 1980
1,Alabama,1071,Jackson,2010,0.115,,"2,849",Before 1950
1,Alabama,1071,Jackson,2010,0.427,,"10,589",Between 1950 and 1979
1,Alabama,1071,Jackson,2010,0.542,,"13,438",Before 1980
1,Alabama,1071,Jackson,2015,0.083,,"2,049",Before 1950
1,Alabama,1071,Jackson,2015,0.448,,"11,094",Between 1950 and 1979
1,Alabama,1071,Jackson,2015,0.531,,"13,143",Before 1980
